prolific_pid,gender,age,score,trait,fbaccount,fbfrequency,fblogin,device,browser,attention_check
f2c7b91f40765476bcee4f268142cc4c93c1eaced923e07450b04ca23841b5a8,f,33,28,introvert,yes,daily,yes,desktop,Chrome,5.0
7e76b6c004f888f47d017f3c8b44b534458b40ddc52d15dba3479b2cf6cf5680,f,31,88,extrovert,yes,daily,yes,desktop,Chrome,5.0
0f061986b6a78b9ab283c314c6e38dce42734120d8b52cf3c019e88829cfeb0a,f,43,56,none,yes,monthly,yes,desktop,Chrome,5.0
a5753ea2c8a87e9d35799fa2317b26d3935843f7538e10190d3ecaa313bd0c16,m,34,28,introvert,yes,daily,yes,desktop,Chrome,5.0
e5126480dc68176c65f1aea8197878344ebd31c72758ec10818f69a88b3ff268,f,30,78,extrovert,yes,weekly,no,desktop,Chrome,5.0
ea57a87db80d6862c088f2b0cf6d4af723e88519575bf028b81e60bffcf73bdd,f,63,68,none,yes,daily,yes,desktop,Chrome,5.0
0791043cd2ce0c829cdbf36fac46f4b110f904e0061178fae139db9cfb62163d,f,34,13,introvert,yes,daily,no,desktop,Chrome,5.0
192ff948019e757672b91e48159a3bf69279311796ec7fd9c749c67bf9bf0e6f,f,35,64,none,yes,weekly,yes,desktop,Chrome,5.0
e2d60b44bccb38c8a888b22024dcb39946bb53d91d8c6ba48cafb96d45727292,f,36,5,introvert,yes,daily,no,desktop,Chrome,5.0
e2f2d54a731ca877480b1b4f4ceea66375f2a290c03b53b29eb7040738d83246,f,61,73,extrovert,yes,daily,yes,desktop,Chrome,5.0
edda8c0c803062badf19b94b3d53c4a65a273003cccd795fcfb463d2130a2469,m,25,77,extrovert,yes,daily,no,desktop,Chrome,5.0
e95b428054929319b7f49e6ba7dd71c3429d1bf89ce66032e77c12eb9025b2a8,m,68,81,extrovert,yes,daily,no,desktop,Chrome,5.0
8099a935ef8105b96f1a9d85ad6dc61cb65b9c7b1f3c9a183854c6f9ae7d88d6,f,45,0,introvert,yes,weekly,yes,desktop,Chrome,5.0
eb8c8282874ed46d9b46cccab8639d071c45bd309e0c30dc723a2e901a2c93e5,m,50,89,extrovert,yes,daily,yes,desktop,Chrome,5.0
619197af5ea7d1372e8771a80aef8b48e3286fabd9e2215a829a2989cd060796,f,32,15,introvert,yes,daily,no,desktop,Chrome,5.0
02a1af7efec3794329042613d1e10319b9c85d32a2ef86da048a4e7cad2845cf,m,57,86,extrovert,yes,weekly,no,desktop,Chrome,5.0
c714b9d5bdec87dc9d2d9911a876425941f6b3fa3178f0e8d341f7be2b620f64,f,32,49,none,yes,daily,no,desktop,Chrome,5.0
91551ed07b18a6cfa70443ded8288da78997836855cfceb22b8a61975cfeb73b,m,52,36,none,yes,daily,yes,desktop,Chrome,5.0
c0faf4fabb5385accde0c9a673358901aa93b4f4b074b76f1abae07646ecfe73,m,77,34,none,yes,daily,no,desktop,Chrome,5.0
1b136dceeb50f6722ee104752f4e5d86e0c1aa0c7b23ba0a08b8a58bd596ac77,m,40,11,introvert,yes,daily,no,desktop,Chrome,5.0
ad5a614fe4f5af1bd5a67bbccb78233b49fb3d997bac50c452f43c50da55ed2c,m,32,65,none,yes,weekly,yes,desktop,Chrome,5.0
81dccdbd063bdded85678b4418ee417a7fc5ad0683723b506361191a22bcc30d,m,52,11,introvert,yes,daily,yes,desktop,Chrome,5.0
162c97322e0fe5005454f9623259699091e8e109cf6581a9d2926dacbb81bded,f,44,71,extrovert,yes,daily,no,desktop,Chrome,5.0
7c26c8921e2405151e565fad8061b06c4d69563ca3ed8de28cf6fba53d9af5eb,f,33,78,extrovert,yes,daily,no,desktop,Chrome,5.0
cf139527dc507447f5f0e10b5379ac2385a5387a4523e9d7f594fc0f9362f8de,f,57,6,introvert,yes,daily,yes,desktop,Chrome,5.0
91dca152228ec0885bfbfad1a4746efa6a118fa006468be7bbf71c38b1dcddff,f,31,31,none,yes,monthly,no,desktop,Chrome,5.0
05a95bfcf3b7c1e0e4cb25be6faeb7df2a5e1ad06d50e1e5f8b3220c4dd840d2,m,25,0,,yes,never,no,desktop,Chrome,
27e84933699d2ad8d50c4be4664a0d884d5b4afe97c16940f724fa4888b7f537,m,25,9,introvert,yes,weekly,yes,desktop,Chrome,5.0
60165d50d79b9a7a48fd039d8aa889724fbbee393a89a750bd4a39003a8623a4,m,30,5,introvert,yes,weekly,no,desktop,Chrome,5.0
b1d90e0ec2c213171f032026e17a3af9ca0d05a0d64456410d9a3cb0cb22ef93,f,32,27,introvert,yes,daily,yes,desktop,Chrome,5.0
088fc448aaadca8f3e3d2008d1224341b888c26b147e695b41dd32aa88baf112,f,64,73,extrovert,yes,daily,no,desktop,Chrome,5.0
91e9166d6167ff8fa31c5f02a744ed96a9b8683b6f503040db0312270183180a,m,29,19,introvert,yes,monthly,no,desktop,Chrome,5.0
bd3c36b3bb3525ba4be60d7daf867aca890643824f47332a57153662e53dcdd9,m,32,27,introvert,yes,monthly,yes,desktop,Chrome,5.0
050cdcfea133f624fe1d0b4829ea4a2519b7892de3d5f440dbfac3001548e26a,m,66,5,introvert,yes,daily,no,desktop,Chrome,5.0
323781be6fd6c30aa9d627bdf619eac5c0050583a18cc6d7fb86a3c70e940ce3,m,59,16,introvert,yes,daily,no,desktop,Chrome,5.0
d74df892a0d14fdd93b3c7797310b0f4ba75fa0a3240754026b7f60178905aa2,f,42,24,introvert,yes,daily,no,desktop,Chrome,5.0
b390fdeb5ceef3dee9d26a129f00d5539e6ddd66accf223e45b9432a2d103b53,f,65,34,none,yes,daily,no,desktop,Chrome,5.0
326fa7af1fb4fa2a20bd7e48ecfc03b1b355483c4d12a7004d42835077beba75,f,37,54,none,yes,daily,no,desktop,Chrome,5.0
9ea2a154c172101c0a34a8b922f3b795bf7717b85f5b06f6acf603d7af206ee1,m,32,32,none,yes,monthly,no,desktop,Chrome,5.0
b382af9f3fd26722561bf349b087a70e79326719bb2cee1d4f6adda0cd996835,m,31,31,none,yes,daily,yes,desktop,Chrome,5.0
b7038826274909ab757701691d45563311b8406d406c85a883de2a48fe59bfc3,m,36,24,introvert,yes,monthly,no,desktop,Chrome,5.0
06b0ff77d5e7a21489b3eb3f4002baf089c5b75d0f85f12b757dfcb346bc38c5,f,46,3,introvert,yes,daily,no,desktop,Chrome,5.0
ab2e8ef7962152dfb8537e87b4159b010b7407f64e9a505a4c325326ead0333a,m,34,13,introvert,yes,daily,yes,desktop,Chrome,5.0
